@RELATION train_nocolour

@attribute G1 REAL
@attribute G2 REAL
@attribute x_region REAL
@attribute y_region REAL
@attribute num_pixels_regions REAL
@attribute text REAL
@attribute type {1,2,3,4,5,6,7}

@DATA
86.494,0.033623,26.789,402.8,1001,0,1
88.409,0.023059,39.821,653.43,1358,0,1
83.78,0,13.06,778.9,1172,0,1
0.93609,24.813,224.04,51.825,211,10,2
-13.587,31.502,332.21,181.21,104,38,2
-12.585,22.564,517.73,265.93,40,20,2
82.992,16.523,412.83,140.56,59,27,2
37.123,18.083,310.26,36.954,65,29,2
30.083,92.294,474.45,78.956,135,10,2
17.433,82.659,572.06,90.953,148,7,2
-62.931,17.877,572.72,233.34,109,16,2
11.686,14.174,460.42,618.95,130,24,2
13.384,13.919,331.07,549.47,236,7,2
62.314,24.46,224.01,614.87,108,52,2
0.71946,16.395,219.63,700.31,90,41,2
70.819,22.534,105.64,771.34,148,40,2
70.756,80.919,160.17,700.53,59,4,2
58.779,20.467,227.39,767.28,85,25,2
-15.016,35.427,364.28,727.3,115,90,2
14.911,12.763,141.96,65.964,56,9,3
6.781,10.25,194.72,162.76,183,22,3
-15.753,12.398,120.67,199.4,43,13,3
12.785,12.626,191.8,278.74,119,22,3
89.902,13.389,126.43,343.4,42,19,3
-0.76814,15.124,194.4,363.89,35,15,3
15.736,14.317,187.23,463.58,31,18,3
-1.169,12.058,181.89,549.1,143,27,3
-0.2658,31.255,126.1,477.11,338,10,3
40.215,11.866,104.68,535.45,47,17,3
-48.888,19.225,132.18,617.82,44,31,3
-16.397,19.405,136.28,652.12,57,21,3
0.9512,13.444,291.49,307.6,104,19,3
93.912,20.567,319.58,367.23,53,17,3
